Date,IPC
2025-02,0.8
2025-01,1.7
2024-12,1.3
2024-11,1.3
2024-10,1.2
2024-09,1.1
2024-08,1.8
2024-07,2.3
2024-06,2.2
2024-05,2.3
2024-04,2.2
2024-03,2.3
2024-02,3.0
2024-01,3.1
2023-12,3.7
2023-11,3.5
2023-10,4.0
2023-09,4.9
2023-08,4.9
2023-07,4.3
2023-06,4.5
2023-05,5.1
2023-04,5.9
2023-03,5.7
2023-02,6.3
2023-01,6.0
2022-12,5.9
2022-11,6.2
2022-10,6.2
2022-09,5.6
2022-08,5.9
2022-07,6.1
2022-06,5.8
2022-05,5.2
2022-04,4.8
2022-03,4.5
2022-02,3.6
2022-01,2.9
2021-12,2.8
2021-11,2.8
2021-10,2.6
2021-09,2.2
2021-08,1.9
2021-07,1.2
2021-06,1.5
2021-05,1.4
2021-04,1.2
2021-03,1.1
2021-02,0.6
2021-01,0.6
2020-12,0.0
2020-11,0.2
2020-10,0.0
2020-09,0.0
2020-08,0.2
2020-07,0.8
2020-06,0.2
2020-05,0.4
2020-04,0.3
2020-03,0.7
2020-02,1.4
2020-01,1.5
2019-12,1.5
2019-11,1.0
2019-10,0.8
2019-09,0.9
2019-08,1.0
2019-07,1.1
2019-06,1.2
2019-05,0.9
2019-04,1.3
2019-03,1.1
2019-02,1.3
2019-01,1.2
2018-12,1.6
2018-11,1.9
2018-10,2.2
2018-09,2.2
2018-08,2.3
2018-07,2.3
2018-06,2.0
2018-05,2.0
2018-04,1.6
2018-03,1.6
2018-02,1.2
2018-01,1.3
2017-12,1.2
2017-11,1.2
2017-10,1.1
2017-09,1.0
2017-08,0.9
2017-07,0.7
2017-06,0.7
2017-05,0.8
2017-04,1.2
2017-03,1.1
2017-02,1.2
2017-01,1.3
2016-12,0.6
2016-11,0.5
2016-10,0.4
2016-09,0.4
2016-08,0.2
2016-07,0.2
2016-06,0.2
2016-05,0.0
2016-04,-0.2
2016-03,-0.1
2016-02,-0.2
2016-01,0.2
2015-12,0.2
2015-11,0.0
2015-10,0.1
2015-09,0.0
2015-08,0.0
2015-07,0.2
2015-06,0.3
2015-05,0.3
2015-04,0.1
2015-03,-0.1
2015-02,-0.3
2015-01,-0.4
